;^FTSE;^GSPC
01/06/2021;7080.5;4202.0400390625
02/06/2021;7108.0;4208.1201171875
03/06/2021;7064.39990234375;4192.85009765625
04/06/2021;7069.0;4229.89013671875
07/06/2021;7077.2001953125;4226.52001953125
08/06/2021;7095.10009765625;4227.259765625
09/06/2021;7081.0;4219.5498046875
10/06/2021;7088.2001953125;4239.18017578125
11/06/2021;7134.10009765625;4247.43994140625
14/06/2021;7146.7001953125;4255.14990234375
15/06/2021;7172.5;4246.58984375
16/06/2021;7185.0;4223.7001953125
17/06/2021;7153.39990234375;4221.85986328125
18/06/2021;7017.5;4166.4501953125
21/06/2021;7062.2998046875;4224.7900390625
22/06/2021;7090.0;4246.43994140625
23/06/2021;7074.10009765625;4241.83984375
24/06/2021;7110.0;4266.490234375
25/06/2021;7136.10009765625;4280.7001953125
28/06/2021;7073.0;4290.60986328125
29/06/2021;7087.60009765625;4291.7998046875
30/06/2021;7037.5;4297.5
01/07/2021;7125.2001953125;4319.93994140625
02/07/2021;7123.2998046875;4352.33984375
05/07/2021;7164.89990234375;
06/07/2021;7100.89990234375;4343.5400390625
07/07/2021;7151.0;4358.1298828125
08/07/2021;7030.7001953125;4320.81982421875
09/07/2021;7121.89990234375;4369.5498046875
12/07/2021;7125.39990234375;4384.6298828125
13/07/2021;7124.7001953125;4369.2099609375
14/07/2021;7091.2001953125;4374.2998046875
15/07/2021;7012.0;4360.02978515625
16/07/2021;7008.10009765625;4327.16015625
19/07/2021;6844.39990234375;4258.490234375
20/07/2021;6881.10009765625;4323.06005859375
21/07/2021;6998.2998046875;4358.68994140625
22/07/2021;6968.2998046875;4367.47998046875
23/07/2021;7027.60009765625;4411.7900390625
26/07/2021;7025.39990234375;4422.2998046875
27/07/2021;6996.10009765625;4401.4599609375
28/07/2021;7016.60009765625;4400.64013671875
29/07/2021;7078.39990234375;4419.14990234375
30/07/2021;7032.2998046875;4395.259765625
02/08/2021;7081.7001953125;4387.16015625
03/08/2021;7105.7001953125;4423.14990234375
04/08/2021;7123.89990234375;4402.66015625
05/08/2021;7120.39990234375;4429.10009765625
06/08/2021;7123.0;4436.52001953125
09/08/2021;7132.2998046875;4432.35009765625
10/08/2021;7161.0;4436.75
11/08/2021;7220.10009765625;4442.41015625
12/08/2021;7193.2001953125;4460.830078125
13/08/2021;7218.7001953125;4468.0
16/08/2021;7154.0;4479.7099609375
17/08/2021;7181.10009765625;4448.080078125
18/08/2021;7169.2998046875;4400.27001953125
19/08/2021;7058.89990234375;4405.7998046875
20/08/2021;7087.89990234375;4441.669921875
23/08/2021;7109.0;4479.52978515625
24/08/2021;7125.7998046875;4486.22998046875
25/08/2021;7150.10009765625;4496.18994140625
26/08/2021;7125.0;4470.0
27/08/2021;7148.0;4509.3701171875
30/08/2021;;4528.7900390625
31/08/2021;7119.7001953125;4522.68017578125
01/09/2021;7149.7998046875;4524.08984375
02/09/2021;7163.89990234375;4536.9501953125
03/09/2021;7138.39990234375;4535.43017578125
06/09/2021;7187.2001953125;
07/09/2021;7149.39990234375;4520.02978515625
08/09/2021;7095.5;4514.06982421875
09/09/2021;7024.2001953125;4493.27978515625
10/09/2021;7029.2001953125;4458.580078125
13/09/2021;7068.39990234375;4468.72998046875
14/09/2021;7034.10009765625;4443.0498046875
15/09/2021;7016.5;4480.7001953125
16/09/2021;7027.5;4473.75
17/09/2021;6963.60009765625;4432.990234375
20/09/2021;6903.89990234375;4357.72998046875
21/09/2021;6981.0;4354.18994140625
22/09/2021;7083.39990234375;4395.64013671875
23/09/2021;7078.39990234375;4448.97998046875
24/09/2021;7051.5;4455.47998046875
27/09/2021;7063.39990234375;4443.10986328125
28/09/2021;7028.10009765625;4352.6298828125
29/09/2021;7108.2001953125;4359.4599609375
30/09/2021;7086.39990234375;4307.5400390625
